0,1,0.002843593
0,2,0.002358563
0,3,0.002540448
0,4,0.002358278
0,5,0.002661741
0,6,0.00235852
0,7,0.003451223
0,8,0.004727979
0,9,0.004910455
0,10,0.003026119
0,11,0.003268647
0,12,0.01208588
0,13,0.084339344
1,2,0.002540448
1,3,0.002358563
1,4,0.002600776
1,5,0.00205557
1,6,0.002783063
1,7,0.003268801
1,8,0.004911312
1,9,0.005093865
1,10,0.002601676
1,11,0.002965102
1,12,0.012024233
1,13,0.085109767
2,3
2,4
2,5,0.002662038
2,6,0.002176589
2,7
2,8,0.004667618
2,9,0.004850091
2,10,0.002359077
2,11
2,12
2,13,0.08510843
3,4,0.001994848
3,5,0.00260138
3,6,0.002237184
3,7
3,8,0.004789435
3,9
3,10
3,11
3,12
3,13,0.085094323
4,5
4,6,0.002176326
4,7
4,8,0.004910389
4,9
4,10,0.00260119
4,11
4,12
4,13,0.08489588
5,6,0.002843539
5,7,0.003329926
5,8,0.004667618
5,9,0.004850091
5,10,0.002601662
5,11,0.002965436
5,12,0.012085943
5,13,0.085031071
6,7,0.003572536
6,8,0.004910984
6,9,0.004971644
6,10,0.002965583
6,11,0.003086286
6,12,0.012270573
6,13,0.084436529
7,8,0.004546061
7,9,0.004606695
7,10,0.003330318
7,12,0.011901912
7,13,0.084304105
8,9,0.000422683
8,10,0.004851488
8,11,0.00521603
8,12,0.012088094
8,13,0.085527173
9,10,0.00503405
9,11,0.005276712
9,12,0.012149212
9,13,0.085458477
10,11,0.003026471
10,12,0.011718129
10,13,0.085119845
11,12,0.012333131
11,13,0.085040461
12,13,0.083618479
