0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.015505118371280161
0,5,0.0
0,6,0.0
0,7,0.019610356576640633
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
1,2,0.0
1,3,0.007782258270555786
1,4,0.007692459419739728
1,5,0.01176524870509708
1,6,0.0
1,7,0.019610356576640633
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.007782258270555786
1,12,0.0
1,13,0.0
2,3,0.0
2,4,0.0038314363727845685
2,5,0.0
2,6,0.0
2,7,0.015626271752052213
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
3,4,0.007692459419739728
3,5,0.0
3,6,0.0
3,7,0.019610356576640633
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.007782258270555786
3,12,0.0
3,13,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
5,6,0.0
5,7,0.015626271752052213
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.011719286486008734
5,12,0.0
5,13,0.0
6,7,0.015626271752052213
6,8,0.027907064735207394
6,9,0.01977680429931721
6,10,0.015811594215256092
6,11,0.003875988402158968
6,12,0.020002667306849565
6,13,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
8,9,0.007843298083849754
8,10,0.01977680429931721
8,11,0.023637651968357286
8,12,0.0
8,13,0.0
9,10,0.01977680429931721
9,11,0.015637481295136677
9,12,0.0
9,13,0.0
10,11,0.0
10,12,0.0
10,13,0.0
11,12,0.0
11,13,0.0
12,13,0.0
